Step, Peak, Hard Limit, Soft Limit, Table Value
0, 0.000000, 1.000000, 1.000000, 65535
1, 0.031250, 1.000000, 1.000000, 65535
2, 0.062500, 1.000000, 1.000000, 65535
3, 0.093750, 1.000000, 1.000000, 65535
4, 0.125000, 1.000000, 1.000000, 65535
5, 0.156250, 1.000000, 1.000000, 65535
6, 0.187500, 1.000000, 1.000000, 65535
7, 0.218750, 1.000000, 1.000000, 65535
8, 0.250000, 1.000000, 1.000000, 65535
9, 0.281250, 1.000000, 1.000000, 65535
10, 0.312500, 1.000000, 1.000000, 65535
11, 0.343750, 1.000000, 1.000000, 65535
12, 0.375000, 1.000000, 1.000000, 65535
13, 0.406250, 1.000000, 1.000000, 65535
14, 0.437500, 1.000000, 1.000000, 65535
15, 0.468750, 1.000000, 1.000000, 65535
16, 0.500000, 1.000000, 1.000000, 65535
17, 0.531250, 1.000000, 1.000000, 65535
18, 0.562500, 1.000000, 0.999999, 65535
19, 0.593750, 1.000000, 0.999995, 65535
20, 0.625000, 1.000000, 0.999985, 65534
21, 0.656250, 1.000000, 0.999953, 65532
22, 0.687500, 1.000000, 0.999866, 65526
23, 0.718750, 1.000000, 0.999651, 65512
24, 0.750000, 1.000000, 0.999164, 65480
25, 0.781250, 1.000000, 0.998155, 65414
26, 0.812500, 1.000000, 0.996234, 65288
27, 0.843750, 1.000000, 0.992872, 65068
28, 0.875000, 1.000000, 0.987447, 64712
29, 0.906250, 1.000000, 0.979356, 64182
30, 0.937500, 1.000000, 0.968159, 63448
31, 0.968750, 0.980645, 0.953713, 62502
32, 1.000000, 0.950000, 0.936242, 61357
33, 1.031250, 0.921212, 0.916304, 60050
34, 1.062500, 0.894118, 0.894663, 58632
35, 1.093750, 0.868571, 0.872134, 57155
36, 1.125000, 0.844444, 0.849433, 55667
37, 1.156250, 0.821622, 0.827097, 54204
38, 1.187500, 0.800000, 0.805467, 52786
39, 1.218750, 0.779487, 0.784721, 51426
40, 1.250000, 0.760000, 0.764918, 50129
41, 1.281250, 0.741463, 0.746052, 48892
42, 1.312500, 0.723810, 0.728083, 47715
43, 1.343750, 0.706977, 0.710958, 46592
44, 1.375000, 0.690909, 0.694623, 45522
45, 1.406250, 0.675556, 0.679025, 44500
46, 1.437500, 0.660870, 0.664115, 43522
47, 1.468750, 0.646809, 0.649850, 42588
48, 1.500000, 0.633333, 0.636187, 41692
49, 1.531250, 0.620408, 0.623089, 40834
50, 1.562500, 0.608000, 0.610522, 40010
51, 1.593750, 0.596078, 0.598453, 39219
52, 1.625000, 0.584615, 0.586855, 38459
53, 1.656250, 0.573585, 0.575699, 37728
54, 1.687500, 0.562963, 0.564961, 37024
55, 1.718750, 0.552727, 0.554618, 36346
56, 1.750000, 0.542857, 0.544647, 35693
57, 1.781250, 0.533333, 0.535030, 35063
58, 1.812500, 0.524138, 0.525748, 34454
59, 1.843750, 0.515254, 0.516784, 33867
60, 1.875000, 0.506667, 0.508120, 33299
61, 1.906250, 0.498361, 0.499744, 32750
62, 1.937500, 0.490323, 0.491639, 32219
63, 1.968750, 0.482540, 0.483794, 31705
64, 2.000000, 0.475000, 0.476197, 31207
65, 2.031250, 0.467692, 0.468834, 30725
66, 2.062500, 0.460606, 0.461697, 30257
67, 2.093750, 0.453731, 0.454774, 29803
68, 2.125000, 0.447059, 0.448056, 29363
69, 2.156250, 0.440580, 0.441533, 28935
70, 2.187500, 0.434286, 0.435199, 28520
71, 2.218750, 0.428169, 0.429044, 28117
72, 2.250000, 0.422222, 0.423061, 27725
73, 2.281250, 0.416438, 0.417243, 27343
74, 2.312500, 0.410811, 0.411583, 26973
75, 2.343750, 0.405333, 0.406075, 26612
76, 2.375000, 0.400000, 0.400713, 26260
77, 2.406250, 0.394805, 0.395491, 25918
78, 2.437500, 0.389744, 0.390403, 25584
79, 2.468750, 0.384810, 0.385445, 25260
80, 2.500000, 0.380000, 0.380611, 24943
81, 2.531250, 0.375309, 0.375897, 24634
82, 2.562500, 0.370732, 0.371299, 24332
83, 2.593750, 0.366265, 0.366812, 24038
84, 2.625000, 0.361905, 0.362432, 23751
85, 2.656250, 0.357647, 0.358156, 23471
86, 2.687500, 0.353488, 0.353980, 23197
87, 2.718750, 0.349425, 0.349900, 22930
88, 2.750000, 0.345455, 0.345913, 22669
89, 2.781250, 0.341573, 0.342016, 22413
90, 2.812500, 0.337778, 0.338206, 22164
91, 2.843750, 0.334066, 0.334481, 21920
92, 2.875000, 0.330435, 0.330836, 21681
93, 2.906250, 0.326882, 0.327270, 21447
94, 2.937500, 0.323404, 0.323780, 21218
95, 2.968750, 0.320000, 0.320364, 20994
96, 3.000000, 0.316667, 0.317020, 20775
97, 3.031250, 0.313402, 0.313744, 20561
98, 3.062500, 0.310204, 0.310536, 20350
99, 3.093750, 0.307071, 0.307393, 20144
100, 3.125000, 0.304000, 0.304312, 19942
101, 3.156250, 0.300990, 0.301293, 19745
102, 3.187500, 0.298039, 0.298333, 19551
103, 3.218750, 0.295146, 0.295431, 19360
104, 3.250000, 0.292308, 0.292585, 19174
105, 3.281250, 0.289524, 0.289793, 18991
106, 3.312500, 0.286792, 0.287055, 18811
107, 3.343750, 0.284112, 0.284367, 18635
108, 3.375000, 0.281481, 0.281729, 18462
109, 3.406250, 0.278899, 0.279140, 18293
110, 3.437500, 0.276364, 0.276598, 18126
111, 3.468750, 0.273874, 0.274102, 17963
112, 3.500000, 0.271429, 0.271651, 17802
113, 3.531250, 0.269027, 0.269243, 17644
114, 3.562500, 0.266667, 0.266877, 17489
115, 3.593750, 0.264348, 0.264553, 17337
116, 3.625000, 0.262069, 0.262269, 17187
117, 3.656250, 0.259829, 0.260024, 17040
118, 3.687500, 0.257627, 0.257817, 16895
119, 3.718750, 0.255462, 0.255647, 16753
120, 3.750000, 0.253333, 0.253514, 16613
121, 3.781250, 0.251240, 0.251416, 16476
122, 3.812500, 0.249180, 0.249352, 16341
123, 3.843750, 0.247154, 0.247322, 16208
124, 3.875000, 0.245161, 0.245325, 16077
125, 3.906250, 0.243200, 0.243360, 15948
126, 3.937500, 0.241270, 0.241426, 15821
127, 3.968750, 0.239370, 0.239522, 15696
128, 4.000000, 0.237500, 0.237649, 15574
129, 4.031250, 0.235659, 0.235804, 15453
130, 4.062500, 0.233846, 0.233988, 15334
131, 4.093750, 0.232061, 0.232200, 15216
132, 4.125000, 0.230303, 0.230439, 15101
133, 4.156250, 0.228571, 0.228704, 14987
134, 4.187500, 0.226866, 0.226995, 14875
135, 4.218750, 0.225185, 0.225312, 14765
136, 4.250000, 0.223529, 0.223653, 14656
137, 4.281250, 0.221898, 0.222019, 14549
138, 4.312500, 0.220290, 0.220408, 14444
139, 4.343750, 0.218705, 0.218821, 14340
140, 4.375000, 0.217143, 0.217256, 14237
141, 4.406250, 0.215603, 0.215714, 14136
142, 4.437500, 0.214085, 0.214193, 14036
143, 4.468750, 0.212587, 0.212694, 13938
144, 4.500000, 0.211111, 0.211216, 13841
145, 4.531250, 0.209655, 0.209757, 13746
146, 4.562500, 0.208219, 0.208319, 13651
147, 4.593750, 0.206803, 0.206901, 13558
148, 4.625000, 0.205405, 0.205502, 13467
149, 4.656250, 0.204027, 0.204121, 13376
150, 4.687500, 0.202667, 0.202759, 13287
151, 4.718750, 0.201325, 0.201415, 13199
152, 4.750000, 0.200000, 0.200089, 13112
153, 4.781250, 0.198693, 0.198780, 13026
154, 4.812500, 0.197403, 0.197488, 12942
155, 4.843750, 0.196129, 0.196213, 12858
156, 4.875000, 0.194872, 0.194954, 12775
157, 4.906250, 0.193631, 0.193711, 12694
158, 4.937500, 0.192405, 0.192484, 12614
159, 4.968750, 0.191195, 0.191273, 12534
160, 5.000000, 0.190000, 0.190076, 12456
161, 5.031250, 0.188820, 0.188895, 12378
162, 5.062500, 0.187654, 0.187728, 12302
163, 5.093750, 0.186503, 0.186575, 12226
164, 5.125000, 0.185366, 0.185437, 12152
165, 5.156250, 0.184242, 0.184312, 12078
166, 5.187500, 0.183133, 0.183201, 12005
167, 5.218750, 0.182036, 0.182103, 11933
168, 5.250000, 0.180952, 0.181018, 11862
169, 5.281250, 0.179882, 0.179946, 11792
170, 5.312500, 0.178824, 0.178887, 11723
171, 5.343750, 0.177778, 0.177840, 11654
172, 5.375000, 0.176744, 0.176805, 11586
173, 5.406250, 0.175723, 0.175783, 11519
174, 5.437500, 0.174713, 0.174772, 11453
175, 5.468750, 0.173714, 0.173772, 11387
176, 5.500000, 0.172727, 0.172784, 11323
177, 5.531250, 0.171751, 0.171808, 11259
178, 5.562500, 0.170787, 0.170842, 11195
179, 5.593750, 0.169832, 0.169887, 11133
180, 5.625000, 0.168889, 0.168942, 11071
181, 5.656250, 0.167956, 0.168008, 11010
182, 5.687500, 0.167033, 0.167085, 10949
183, 5.718750, 0.166120, 0.166171, 10889
184, 5.750000, 0.165217, 0.165267, 10830
185, 5.781250, 0.164324, 0.164374, 10771
186, 5.812500, 0.163441, 0.163489, 10713
187, 5.843750, 0.162567, 0.162614, 10656
188, 5.875000, 0.161702, 0.161749, 10599
189, 5.906250, 0.160847, 0.160893, 10543
190, 5.937500, 0.160000, 0.160045, 10488
191, 5.968750, 0.159162, 0.159207, 10433
192, 6.000000, 0.158333, 0.158377, 10378
193, 6.031250, 0.157513, 0.157556, 10325
194, 6.062500, 0.156701, 0.156744, 10271
195, 6.093750, 0.155897, 0.155939, 10219
196, 6.125000, 0.155102, 0.155143, 10166
197, 6.156250, 0.154315, 0.154355, 10115
198, 6.187500, 0.153535, 0.153575, 10064
199, 6.218750, 0.152764, 0.152803, 10013
200, 6.250000, 0.152000, 0.152039, 9963
201, 6.281250, 0.151244, 0.151282, 9913
202, 6.312500, 0.150495, 0.150533, 9864
203, 6.343750, 0.149754, 0.149791, 9816
204, 6.375000, 0.149020, 0.149056, 9768
205, 6.406250, 0.148293, 0.148329, 9720
206, 6.437500, 0.147573, 0.147608, 9673
207, 6.468750, 0.146860, 0.146895, 9626
208, 6.500000, 0.146154, 0.146188, 9580
209, 6.531250, 0.145455, 0.145489, 9534
210, 6.562500, 0.144762, 0.144796, 9488
211, 6.593750, 0.144076, 0.144109, 9443
212, 6.625000, 0.143396, 0.143429, 9399
213, 6.656250, 0.142723, 0.142755, 9355
214, 6.687500, 0.142056, 0.142088, 9311
215, 6.718750, 0.141395, 0.141427, 9268
216, 6.750000, 0.140741, 0.140772, 9225
217, 6.781250, 0.140092, 0.140123, 9182
218, 6.812500, 0.139450, 0.139480, 9140
219, 6.843750, 0.138813, 0.138842, 9098
220, 6.875000, 0.138182, 0.138211, 9057
221, 6.906250, 0.137557, 0.137585, 9016
222, 6.937500, 0.136937, 0.136965, 8975
223, 6.968750, 0.136323, 0.136351, 8935
224, 7.000000, 0.135714, 0.135742, 8895
225, 7.031250, 0.135111, 0.135138, 8855
