World,Level,Meta,Puzzle No.,Puzzle,No. Possible,No. Required,ScrambleYN,Letter,Piece 1,Piece 2,Piece 3,Piece 4,Piece 5,Piece 6,Notes,Solution 1,Solution 2,Solution 3,Solution 4,Solution 5,Solution 6,Solution 7,Solution 8,Solution 9,Solution 10,Solution 11,Solution 12,Solution 13,Solution 14,Solution 15,Solution 16,No. Letters,No. Blanks,No. Repeat Ltr. Cubes,Full-length Freq.,Min. Freq.,Max. Freq.,No. Freq. 1,No. Freq. 2,No. Freq. 3,No. Freq. 4,No. Freq. 5,No. Freq. 6,No. Freq. 7,No. Freq. 8,No. Freq. 9,No. Freq. 10
,,,,CHIRRUPS,2,,,,CHI,RRU,PS ,,,,,CHIRRUPS,CHIPS,,,,,,,,,,,,,,,8,1,0,5,1,5,0,1,0,0,0,1,0,0,0,0
,,,,JOHNNY,2,,,,JO,HN,NY,,,,,JOHN,JOHNNY,,,,,,,,,,,,,,,6,0,0,5,1,5,0,1,0,0,0,1,0,0,0,0
,,,,WITHAL,3,,,,WI,TH,AL,,,,,WITHAL,WITH,LATH,,,,,,,,,,,,,,6,0,0,5,0,5,1,0,0,1,0,1,0,0,0,0
,,,,HURTLE,2,,,,HU,RT,LE,,,,,HURTLE,HURT,,,,,,,,,,,,,,,6,0,0,3,0,3,1,0,0,1,0,0,0,0,0,0
,,,,LAST,3,,,,LA,ST,,,,,,ALTS,LAST,LATS,,,,,,,,,,,,,,4,2,0,0,0,5,1,0,0,0,0,2,0,0,0,0
,,,,WELSHERS,2,,,, WE,LSH,ERS,,,,,WELSH,WELSHERS,,,,,,,,,,,,,,,8,1,0,6,4,6,0,0,0,0,1,0,1,0,0,0
,,,,LASE,3,,,,LA,SE,,,,,,ALES,LASE,SEAL,,,,,,,,,,,,,,4,2,0,2,2,5,0,0,1,1,0,1,0,0,0,0
,,,,JOINER,4,,,,JO,IN,ER,,,,,REJOIN,REIN,JOINER,JOIN,,,,,,,,,,,,,6,0,0,3,1,5,0,1,0,2,0,1,0,0,0,0
,,,,SILKEN,3,,,,SI,LK,EN,,,,,SILKEN,SILK,SINE,,,,,,,,,,,,,,6,0,0,3,2,3,0,0,1,2,0,0,0,0,0,0
,,,,PROPHESY,2,,,,PRO,PHE,SY ,,,,,PROPHESY,PROSY,,,,,,,,,,,,,,,8,1,0,3,3,5,0,0,0,1,0,1,0,0,0,0
,,,,EXACTEST,2,,,, EX,ACT,EST,,,,,EXACT,EXACTEST,,,,,,,,,,,,,,,8,1,0,3,1,3,0,1,0,1,0,0,0,0,0,0
,,,,CHINOS,3,,,,CH,IN,OS,,,,,INCH,CHINOS,CHIN,,,,,,,,,,,,,,6,0,0,4,1,4,0,1,0,1,1,0,0,0,0,0
,,,,ORIENTED,2,,,,ORI,ENT,ED ,,,,,ORIENTED,ORIENT,,,,,,,,,,,,,,,8,1,0,2,2,2,0,0,2,0,0,0,0,0,0,0
,,,,WINCE,3,,,, W,IN,CE,,,,,WIN,WINCE,NICE,,,,,,,,,,,,,,5,1,0,3,0,3,2,0,0,1,0,0,0,0,0,0
,,,,WINCH,4,,,, W,IN,CH,,,,,INCH,WIN,WINCH,CHIN,,,,,,,,,,,,,5,1,0,3,0,3,1,1,0,2,0,0,0,0,0,0
