World,Level,Meta,Letter,Puzzle No.,Puzzle,No. Possible,No. Required,ScrambleYN,Piece 1,Piece 2,Piece 3,Piece 4,Piece 5,Piece 6,Notes,Solution 1,Solution 2,Solution 3,Solution 4,Solution 5,Solution 6,Solution 7,Solution 8,Solution 9,Solution 10,Solution 11,Solution 12,Solution 13,Solution 14,Solution 15,Solution 16,Max. Freq.,Full-length Freq.,No. Letters,No. Blanks,No. Repeat Ltr. Cubes,Min. Freq.,No. Freq. 1,No. Freq. 2,No. Freq. 3,No. Freq. 4,No. Freq. 5,No. Freq. 6,No. Freq. 7,No. Freq. 8,No. Freq. 9,No. Freq. 10,,,,,,
1,1,ace,A,1,ACT,2,2,y,AC,T ,,,,,,CAT,ACT,,,,,,,,,,,,,,,1,1,3,3,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,
1,1,ace,C,2,CATS,3,3,y,CA,TS,,,,,,CAST,CATS,ACTS,,,,,,,,,,,,,,3,1,4,2,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,
1,1,ace,E,3,EXACT,3,3,n,EX,AC,T ,,,,,CAT,EXACT,ACT,,,,,,,,,,,,,,2,2,5,1,0,1,2,1,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,box,O,1,NOT,2,2,y,NO,T ,,,,,,NOT,TON,,,,,,,,,,,,,,,1,1,3,3,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,
1,2,box,B,2,BECOME,2,2,y,BE,CO,ME,,,,,BECOME,COME,,,,,,,,,,,,,,,1,1,6,0,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,
1,2,box,X,3,FIXED,3,3,y, F,IX,ED,,,,,FIX,FIXED,FED,,,,,,,,,,,,,,2,2,5,1,0,1,1,2,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,gram,G,1,HAVING,2,2,n,HA,VI,NG,,,,,HANG,HAVING,,,,,,,,,,,,,,,2,2,6,0,0,2,0,2,0,0,0,0,0,0,0,0,,,,,,
1,3,gram,R,2,WRONG,2,2,y, W,RO,NG,,,,,WRONG,ROW,,,,,,,,,,,,,,,1,1,5,1,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,
1,3,gram,M,3,SMALL,4,2,n,S,MA,LL,,,,,SMALL,MALL,MALLS,MAS,,,,,,,,,,,,,4,1,5,1,1,1,1,0,0,3,0,0,0,0,0,0,,,,,,
1,3,gram,A,4,YAM,2,2,n,YA,M ,,,,,,YAM,MAY,,,,,,,,,,,,,,,4,1,3,3,0,1,1,0,0,1,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,puzzle,E,1,READ,2,2,y,RE,AD,,,,,,READ,DARE,,,,,,,,,,,,,,,2,1,4,2,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,
1,4,puzzle,L,2,UNLOCK,2,2,y,UN,LO,CK,,,,,LOCK,UNLOCK,,,,,,,,,,,,,,,3,3,6,0,0,2,0,1,1,0,0,0,0,0,0,0,,,,,,
