comparison of unbwt times (in seconds) for chr22.dna on C2D 2.66 GHz

blksz (MiB)  basisPSI  basisLF    bw94
          1      1.29     1.30    1.41
          2      2.38     2.38    2.51
          4      3.07     3.09    3.11
          8      3.54     3.58    3.54
         16      3.76     3.88    3.69
         32      4.07     4.20    3.97
         64      4.15     4.29    4.07

blksz (MiB)   saPSI    saLF  mergedTPSI  mergedTL
          1    0.96    0.88        0.80      0.84
          2    1.87    1.85        1.67      1.73
          4    2.62    2.59        2.29      2.36
          8    3.27    3.24        2.68      2.76
         16    3.68    3.64        2.87      2.95
         32    3.98    3.94           -         -
         64    4.07    4.04           -         -

blksz (MiB)  indexPSIv1  indexPSIv2  indexLFv1  indexLFv2
          1        1.27        0.81       1.28       0.80
          2        2.12        1.68       2.16       1.72
          4        2.73        2.30       2.78       2.35
          8        3.11        2.69       3.15       2.76
         16        3.30        2.88       3.35       2.97
         32        3.48        3.08       3.53       3.13
         64        3.54        3.16       3.59       3.21

blksz (MiB)  unlimTPSI  unlimTLF  biPSIv1  biPSIv2
          1       0.78      0.83     1.47     0.75
          2       1.69      1.72     1.88     1.16
          4       2.32      2.35     2.17     1.46
          8       2.73      2.76     2.39     1.69
         16       2.93      2.97     2.49     1.79
         32       3.33      3.13     2.57     1.89
         64       3.19      3.20     2.60     1.93

blksz (MiB)      LL     LRI  LRI8v1  LRI8v2
          1    1.06    4.66    3.01    1.36
          2    1.91    5.51    3.75    2.07
          4    2.99    7.57    4.85    3.16
          8    3.66    9.95    5.78    4.04
         16    4.15   12.21    6.44    4.72
         32    4.82   14.99    6.98    5.27
         64    4.96   15.36    7.10    5.66
