comparison of unbwt times (in seconds) for enwik8 on C2D 2.66 GHz

blksz (MiB)  basisPSI  basisLF    bw94
          1      3.39     3.06    3.33
          2      5.55     5.53    5.84
          4      7.30     7.29    7.46
          8      8.70     8.70    8.78
         16      9.60     9.67    9.60
         32     10.44    10.70   10.27
         64     11.33    11.54   11.11
        128     12.76    12.93   12.51

blksz (MiB)   saPSI    saLF  mergedTPSI  mergedTL
          1    2.50    2.43        2.13      2.27
          2    4.51    4.39        3.94      4.09
          4    6.39    6.31        5.46      5.60
          8    8.27    8.18        6.60      6.76
         16    9.52    9.42        7.24      7.41
         32   10.47   10.37           -         -
         64   11.09   11.01           -         -
        128   12.02   11.91           -         -

blksz (MiB)  indexPSIv1  indexPSIv2  indexLFv1  indexLFv2
          1        3.92        2.64       3.56       2.55
          2        5.26        4.25       5.35       4.35
          4        6.73        5.75       6.85       5.88
          8        7.86        6.90       7.97       7.06
         16        8.48        7.55       8.60       7.73
         32        9.10        8.21       9.23       8.34
         64       10.29        8.71       9.73       8.84
        128       10.36        9.54      10.51       9.67

blksz (MiB)  unlimTPSI  unlimTLF  biPSIv1  biPSIv2
          1       2.19      2.28     5.62     3.55
          2       4.01      4.06     5.84     4.47
          4       5.54      5.60     6.57     5.19
          8       6.71      6.79     7.24     5.88
         16       7.38      7.46     7.56     6.18
         32       8.87      8.08     7.87     6.44
         64       8.82      8.58     8.14     6.71
        128       9.33      9.36     8.55     7.02

blksz (MiB)      LL     LRI  LRI8v1  LRI8v2
          1    3.11   11.64    6.86    3.84
          2    4.95   13.78    8.54    5.32
          4    7.54   18.83   11.43    7.98
          8    9.30   24.43   13.75   10.09
         16   10.80   30.48   15.69   11.90
         32   12.52   37.95   17.45   13.57
         64   13.72   42.93   18.84   14.83
        128   15.66   51.11   21.36   17.40
