comparison of unbwt times (in seconds) for enwik9 on C2D 2.66 GHz

blksz (MiB)  basisPSI  basisLF    bw94
          1     43.42    40.71   44.38
          2     66.81    66.46   68.04
          4     84.49    84.87   84.67
          8     98.97    99.03  100.02
         16    108.58   108.86  109.25
         32    116.30   118.87  114.53
         64    128.94   131.16  126.85
        128    144.87   145.29  141.16
        256    166.36   167.80  167.55

blksz (MiB)   saPSI    saLF  mergedTPSI  mergedTL
          1   36.81   35.78       30.61     31.16
          2   56.56   55.59       50.84     52.25
          4   75.93   75.25       66.73     67.77
          8   94.61   93.56       78.17     79.52
         16  107.11  106.34       84.86     86.34
         32  116.24  115.44           -         -
         64  125.23  124.50           -         -
        128  134.38  133.59           -         -
        256  145.82  144.96           -         -

blksz (MiB)  indexPSIv1  indexPSIv2  indexLFv1  indexLFv2
          1       45.52       36.35      45.34      37.03
          2       64.24       53.75      64.76      54.79
          4       79.45       69.58      80.62      70.88
          8       90.58       81.03      91.70      82.62
         16       97.25       88.03      98.58      89.90
         32      102.82       93.89     104.34      95.48
         64      109.66      100.99     111.57     102.04
        128      117.40      108.77     118.85     109.69
        256      127.17      118.33     128.56     119.55

blksz (MiB)  unlimTPSI  unlimTLF  biPSIv1  biPSIv2
          1      30.89     31.09    61.23    45.38
          2      51.60     51.88    70.58    56.81
          4      67.55     68.13    78.40    64.73
          8      79.27     79.81    85.00    71.53
         16      86.26     87.09    88.52    75.36
         32     100.33     92.68    91.38    78.21
         64      99.58     99.62    94.85    81.74
        128     107.27    107.33    99.01    85.83
        256     117.05    117.19   105.71    90.76

blksz (MiB)      LL     LRI  LRI8v1  LRI8v2
          1   42.31  125.90   78.69   52.75
          2   58.01  148.38   97.43   65.60
          4   85.03  196.73  124.74   91.56
          8  102.11  254.62  149.72  113.15
         16  119.12  315.98  168.99  131.94
         32  136.30  387.99  185.46  147.44
         64  154.88  475.58  207.36  168.14
        128  174.54  562.38  239.65  196.92
        256  197.87  671.05  292.62  248.41
