comparison of unbwt times (in seconds) for etext99 on C2D 2.66 GHz

blksz (MiB)  basisPSI  basisLF    bw94
          1      4.10     4.03    4.30
          2      6.66     6.63    7.03
          4      8.73     8.70    9.02
          8     10.27    10.26   10.45
         16     11.23    11.29   11.31
         32     12.12    12.36   12.00
         64     13.21    13.45   12.97
        128     14.92    15.11   14.57

blksz (MiB)   saPSI    saLF  mergedTPSI  mergedTL
          1    3.00    2.86        2.45      2.67
          2    5.28    5.17        4.62      4.78
          4    7.47    7.38        6.37      6.53
          8    9.64    9.53        7.66      7.83
         16   10.93   10.83        8.32      8.50
         32   11.87   11.79           -         -
         64   12.72   12.63           -         -
        128   13.70   13.59           -         -

blksz (MiB)  indexPSIv1  indexPSIv2  indexLFv1  indexLFv2
          1        4.20        2.87       4.33       2.95
          2        5.98        4.87       6.10       4.97
          4        7.69        6.61       7.81       6.75
          8        8.96        7.91       9.07       8.09
         16        9.61        8.59       9.74       8.81
         32       10.24        9.28      10.39       9.41
         64       10.87        9.99      11.03      10.09
        128       11.77       10.90      11.91      10.95

blksz (MiB)  unlimTPSI  unlimTLF  biPSIv1  biPSIv2
          1       2.59      2.62     6.00     3.82
          2       4.69      4.75     6.18     4.48
          4       6.47      6.53     7.03     5.31
          8       7.79      7.86     7.73     6.09
         16       8.47      8.57     8.06     6.43
         32       9.89      9.18     8.37     6.79
         64       9.80      9.82     8.69     7.12
        128      10.68     10.71     9.16     7.37

blksz (MiB)      LL     LRI  LRI8v1  LRI8v2
          1    3.72   16.52    9.60    5.09
          2    5.59   15.39    9.71    6.12
          4    8.67   21.15   12.85    9.04
          8   10.74   27.88   15.46   11.46
         16   12.44   35.06   17.54   13.41
         32   14.26   42.95   19.33   15.11
         64   16.17   50.99   21.38   17.12
        128   18.61   61.10   24.48   19.95
