comparison of unbwt times (in seconds) for gcc-3.0.tar on C2D 2.66 GHz

blksz (MiB)  basisPSI  basisLF    bw94
          1      1.99     1.95    1.96
          2      3.02     3.00    3.12
          4      3.89     3.88    4.00
          8      4.80     4.79    4.90
         16      5.40     5.42    5.46
         32      5.96     6.04    5.96
         64      6.51     6.60    6.47
        128      6.94     7.03    6.88

blksz (MiB)   saPSI    saLF  mergedTPSI  mergedTL
          1    1.73    1.65        1.40      1.50
          2    2.60    2.96        2.49      2.63
          4    3.48    3.41        2.84      2.94
          8    4.71    4.64        3.59      3.69
         16    5.62    5.55        4.02      4.12
         32    6.30    6.22           -         -
         64    6.83    6.76           -         -
        128    7.29    7.22           -         -

blksz (MiB)  indexPSIv1  indexPSIv2  indexLFv1  indexLFv2
          1        2.79        1.68       2.86       1.75
          2        3.34        2.88       3.42       2.52
          4        3.99        3.11       4.09       3.20
          8        4.72        3.84       4.81       3.95
         16        5.14        4.28       5.24       4.39
         32        5.52        4.69       5.62       4.80
         64        5.86        5.05       5.97       5.16
        128        6.12        5.36       6.23       5.48

blksz (MiB)  unlimTPSI  unlimTLF  biPSIv1  biPSIv2
          1       1.46      1.48     4.59     2.90
          2       2.57      2.60     4.37     3.16
          4       2.92      2.95     4.72     3.56
          8       3.67      3.70     5.20     4.08
         16       4.10      4.15     5.42     4.33
         32       5.27      4.56     5.63     4.56
         64       5.09      4.92     5.82     4.76
        128       5.26      5.22     5.97     4.82

blksz (MiB)      LL     LRI  LRI8v1  LRI8v2
          1    2.49   12.24    6.86    3.67
          2    3.08   11.03    6.67    4.13
          4    4.13   13.21    8.01    5.36
          8    5.15   16.11    9.42    6.64
         16    6.02   19.47   10.79    7.88
         32    6.82   23.15   11.97    9.03
         64    7.70   27.19   13.17   10.11
        128    8.32   30.68   14.25   11.28
