comparison of unbwt times (in seconds) for howto on C2D 2.66 GHz

blksz (MiB)  basisPSI  basisLF    bw94
          1      1.12     1.11    1.17
          2      2.06     2.05    2.15
          4      2.56     2.56    2.61
          8      3.06     3.07    3.09
         16      3.35     3.41    3.33
         32      3.58     3.64    3.56
         64      3.85     3.92    3.81

blksz (MiB)   saPSI    saLF  mergedTPSI  mergedTL
          1    0.90    0.86        0.75      0.79
          2    1.68    1.59        1.36      1.45
          4    2.22    2.19        1.87      1.93
          8    2.91    2.87        2.28      2.34
         16    3.33    3.29        2.50      2.56
         32    3.60    3.55           -         -
         64    3.89    3.85           -         -

blksz (MiB)  indexPSIv1  indexPSIv2  indexLFv1  indexLFv2
          1        1.28        0.87       1.30       0.89
          2        2.13        1.53       2.16       1.56
          4        2.38        1.98       2.43       2.03
          8        2.78        2.40       2.82       2.45
         16        3.01        2.63       3.05       2.69
         32        3.16        2.79       3.21       2.84
         64        3.35        3.04       3.40       3.09

blksz (MiB)  unlimTPSI  unlimTLF  biPSIv1  biPSIv2
          1       0.76      0.77     1.85     1.32
          2       1.43      1.43     2.17     1.87
          4       1.90      1.92     2.44     1.90
          8       2.31      2.34     2.68     2.14
         16       2.54      2.58     2.79     2.25
         32       2.98      2.74     2.87     2.35
         64       2.92      2.95     2.97     2.44

blksz (MiB)      LL     LRI  LRI8v1  LRI8v2
          1    1.15    5.53    3.05    1.51
          2    1.99    5.41    3.35    2.05
          4    2.58    6.95    4.27    2.87
          8    3.22    8.81    5.08    3.63
         16    3.66   10.64    5.74    4.22
         32    4.06   12.58    6.23    4.66
         64    4.46   14.11    6.72    5.27
