comparison of unbwt times (in seconds) for jdk13c on C2D 2.66 GHz

blksz (MiB)  basisPSI  basisLF    bw94
          1      1.70     1.69    1.71
          2      2.88     2.99    3.10
          4      3.43     3.44    3.57
          8      4.17     4.17    4.29
         16      4.67     4.70    4.77
         32      5.18     5.27    5.24
         64      5.83     5.94    5.86
        128      5.96     6.08    5.99

blksz (MiB)   saPSI    saLF  mergedTPSI  mergedTL
          1    1.47    1.41        1.20      1.26
          2    2.55    2.47        2.07      2.13
          4    3.02    2.98        2.45      2.52
          8    4.05    4.00        3.01      3.07
         16    4.78    4.74        3.35      3.41
         32    5.36    5.32           -         -
         64    5.90    5.85           -         -
        128    6.05    6.01           -         -

blksz (MiB)  indexPSIv1  indexPSIv2  indexLFv1  indexLFv2
          1        2.21        1.41       2.34       1.49
          2        2.75        2.33       2.84       2.49
          4        3.34        2.65       3.44       2.73
          8        3.89        3.20       3.99       3.29
         16        4.22        3.54       4.32       3.65
         32        4.55        3.89       4.67       4.00
         64        4.95        4.30       5.06       4.39
        128        5.04        4.50       5.15       4.60

blksz (MiB)  unlimTPSI  unlimTLF  biPSIv1  biPSIv2
          1       1.27      1.26     3.76     2.34
          2       2.15      2.14     3.70     2.63
          4       2.52      2.54     4.02     2.99
          8       3.09      3.11     4.38     3.38
         16       3.43      3.46     4.56     3.59
         32       4.36      3.83     4.74     3.81
         64       4.19      4.23     4.95     4.03
        128       4.29      4.33     5.00     4.07

blksz (MiB)      LL     LRI  LRI8v1  LRI8v2
          1    2.00    9.78    5.33    3.18
          2    2.66    9.05    5.41    3.67
          4    3.67   11.14    6.64    4.80
          8    4.54   13.85    7.84    5.87
         16    5.25   17.08    8.97    6.93
         32    5.97   20.82   10.05    7.96
         64    6.94   25.25   11.37    9.20
        128    7.13   26.02   11.66    9.74
