comparison of unbwt times (in seconds) for linux-2.4.5.tar on C2D 2.66 GHz

blksz (MiB)  basisPSI  basisLF    bw94
          1      2.75     2.67    2.72
          2      3.96     3.95    4.11
          4      5.19     5.18    5.37
          8      6.46     6.45    6.60
         16      7.26     7.27    7.40
         32      8.00     8.03    8.03
         64      8.84     8.94    8.81
        128      9.91    10.04    9.82

blksz (MiB)   saPSI    saLF  mergedTPSI  mergedTL
          1    2.42    2.25        1.88      1.98
          2    3.40    3.29        2.86      2.99
          4    4.63    4.53        3.80      3.95
          8    6.26    6.15        4.83      4.98
         16    7.42    7.31        5.39      5.54
         32    8.26    8.15           -         -
         64    9.12    9.01           -         -
        128   10.09    9.97           -         -

blksz (MiB)  indexPSIv1  indexPSIv2  indexLFv1  indexLFv2
          1        3.87        2.44       4.03       2.51
          2        4.43        3.24       4.54       3.33
          4        5.36        4.19       5.47       4.30
          8        6.37        5.20       6.48       5.32
         16        6.90        5.76       7.03       5.90
         32        7.36        6.23       7.49       6.36
         64        7.91        6.81       8.03       6.95
        128        8.55        7.46       8.68       7.60

blksz (MiB)  unlimTPSI  unlimTLF  biPSIv1  biPSIv2
          1       1.96      2.00     6.35     4.28
          2       2.94      2.97     5.89     4.35
          4       3.90      3.94     6.40     4.91
          8       4.95      4.99     7.08     5.61
         16       5.53      5.57     7.37     5.92
         32       6.87      6.07     7.62     6.19
         64       6.63      6.64     7.93     6.50
        128       7.38      7.33     8.30     6.67

blksz (MiB)      LL     LRI  LRI8v1  LRI8v2
          1    3.47   16.25    9.15    4.95
          2    4.12   14.50    8.70    5.37
          4    5.59   17.44   10.51    7.05
          8    7.03   21.50   12.49    8.82
         16    8.18   26.12   14.36   10.49
         32    9.25   30.84   15.87   11.88
         64   10.60   37.11   17.74   13.69
        128   12.06   44.34   20.26   15.96
