comparison of unbwt times (in seconds) for rctail96 on C2D 2.66 GHz

blksz (MiB)  basisPSI  basisLF    bw94
          1      3.72     3.64    3.81
          2      5.91     5.88    6.25
          4      7.76     7.75    8.06
          8      9.32     9.30    9.51
         16     10.26    10.29   10.44
         32     11.00    11.15   11.13
         64     11.98    12.14   11.99
        128     13.35    13.53   13.24

blksz (MiB)   saPSI    saLF  mergedTPSI  mergedTL
          1    2.93    2.81        2.41      2.57
          2    4.73    4.66        4.08      4.20
          4    6.67    6.58        5.59      5.70
          8    8.75    8.66        6.83      6.96
         16   10.15   10.06        7.48      7.62
         32   11.05   10.96           -         -
         64   11.88   11.80           -         -
        128   12.76   12.67           -         -

blksz (MiB)  indexPSIv1  indexPSIv2  indexLFv1  indexLFv2
          1        4.29        2.84       4.45       2.94
          2        5.55        4.37       5.68       4.52
          4        7.03        5.88       7.18       6.03
          8        8.26        7.13       8.41       7.31
         16        8.89        7.80       9.05       8.01
         32        9.39        8.34       9.57       8.52
         64        9.96        8.94      10.13       9.11
        128       10.67        9.67      10.85       9.79

blksz (MiB)  unlimTPSI  unlimTLF  biPSIv1  biPSIv2
          1       2.51      2.56     6.56     4.26
          2       4.18      4.20     6.45     4.68
          4       5.69      5.73     7.17     5.44
          8       6.97      7.01     7.91     6.19
         16       7.65      7.70     8.22     6.50
         32       9.02      8.22     8.48     6.79
         64       8.79      8.78     8.76     7.06
        128       9.47      9.50     9.15     7.17

blksz (MiB)      LL     LRI  LRI8v1  LRI8v2
          1    3.95   17.12    9.81    5.70
          2    5.26   15.69    9.64    6.39
          4    7.86   20.70   12.41    8.93
          8    9.82   27.10   14.97   11.34
         16   11.33   34.48   17.18   13.46
         32   12.66   42.07   18.82   15.05
         64   14.56   51.34   21.00   17.12
        128   16.58   61.71   24.12   20.12
