comparison of unbwt times (in seconds) for rfc on C2D 2.66 GHz

blksz (MiB)  basisPSI  basisLF    bw94
          1      3.23     3.22    3.31
          2      4.97     4.94    5.20
          4      6.75     6.74    6.97
          8      8.36     8.35    8.51
         16      9.43     9.44    9.54
         32     10.35    10.42   10.41
         64     11.47    11.59   11.42
        128     12.90    13.03   12.74

blksz (MiB)   saPSI    saLF  mergedTPSI  mergedTL
          1    2.74    2.56        2.19      2.27
          2    4.12    4.02        3.50      3.63
          4    5.91    5.83        4.93      5.07
          8    8.04    7.93        6.23      6.38
         16    9.52    9.42        6.98      7.13
         32   10.53   10.43           -         -
         64   11.51   11.41           -         -
        128   12.52   12.42           -         -

blksz (MiB)  indexPSIv1  indexPSIv2  indexLFv1  indexLFv2
          1        4.13        2.57       4.29       2.68
          2        5.03        3.82       5.16       3.93
          4        6.42        5.23       6.57       5.37
          8        7.71        6.54       7.85       6.70
         16        8.44        7.30       8.59       7.49
         32        9.05        7.94       9.21       8.11
         64        9.75        8.70       9.92       8.84
        128       10.59        9.54      10.75       9.64

blksz (MiB)  unlimTPSI  unlimTLF  biPSIv1  biPSIv2
          1       2.27      2.25     6.35     4.09
          2       3.60      3.63     6.12     4.42
          4       5.03      5.08     6.84     5.16
          8       6.36      6.41     7.62     5.96
         16       7.13      7.19     7.99     6.34
         32       8.59      7.82     8.31     6.64
         64       8.53      8.54     8.68     7.00
        128       9.32      9.38     9.12     7.24

blksz (MiB)      LL     LRI  LRI8v1  LRI8v2
          1    3.84   17.71   10.30    5.58
          2    4.74   15.83    9.83    6.16
          4    6.97   19.88   12.30    8.43
          8    8.89   25.30   14.78   10.70
         16   10.46   31.68   17.00   12.78
         32   11.85   37.97   18.72   14.40
         64   13.74   46.50   20.93   16.60
        128   15.72   56.10   24.00   19.39
