comparison of unbwt times (in seconds) for sprot34.dat on C2D 2.66 GHz

blksz (MiB)  basisPSI  basisLF    bw94
          1      3.31     3.25    3.34
          2      5.07     5.06    5.30
          4      6.68     6.67    6.88
          8      8.01     8.00    8.15
         16      8.85     8.87    8.95
         32      9.67     9.77    9.75
         64     10.63    10.76   10.60
        128     11.95    12.04   11.81

blksz (MiB)   saPSI    saLF  mergedTPSI  mergedTL
          1    2.76    2.56        2.16      2.29
          2    4.24    4.15        3.60      3.72
          4    5.94    5.86        4.90      5.04
          8    7.80    7.70        5.99      6.12
         16    8.95    8.85        6.54      6.68
         32    9.82    9.72           -         -
         64   10.62   10.52           -         -
        128   11.47   11.36           -         -

blksz (MiB)  indexPSIv1  indexPSIv2  indexLFv1  indexLFv2
          1        4.01        2.47       4.19       2.57
          2        4.99        3.80       5.13       3.92
          4        6.27        5.11       6.42       5.24
          8        7.34        6.20       7.48       6.36
         16        7.88        6.77       8.03       6.95
         32        8.39        7.30       8.54       7.46
         64        8.93        7.88       9.09       8.02
        128        9.63        8.60       9.78       8.72

blksz (MiB)  unlimTPSI  unlimTLF  biPSIv1  biPSIv2
          1       2.26      2.28     6.07     4.07
          2       3.69      3.70     5.91     4.40
          4       5.01      5.04     6.58     5.08
          8       6.14      6.16     7.25     5.78
         16       6.71      6.73     7.53     6.06
         32       8.10      7.26     7.79     6.38
         64       7.83      7.83     8.09     6.61
        128       8.52      8.51     8.48     6.79

blksz (MiB)      LL     LRI  LRI8v1  LRI8v2
          1    3.40   16.59    9.68    4.88
          2    4.73   15.08    9.38    5.53
          4    6.91   19.44   11.85    7.78
          8    8.65   25.00   14.11    9.83
         16    9.95   31.47   15.98   11.59
         32   11.45   39.22   17.61   13.11
         64   13.22   48.58   19.57   14.98
        128   15.24   59.62   22.52   17.62
