comparison of unbwt times (in seconds) for w3c2 on C2D 2.66 GHz

blksz (MiB)  basisPSI  basisLF    bw94
          1      2.54     2.52    2.49
          2      3.51     3.51    3.57
          4      4.56     4.56    4.62
          8      5.62     5.60    5.66
         16      6.37     6.25    6.29
         32      7.08     7.11    7.04
         64      7.52     7.58    7.50
        128      8.11     8.18    8.07

blksz (MiB)   saPSI    saLF  mergedTPSI  mergedTL
          1    2.20    2.10        1.73      1.81
          2    3.07    2.99        2.99      2.61
          4    4.16    4.11        3.31      3.42
          8    5.60    5.52        4.11      4.21
         16    6.63    6.54        4.55      4.66
         32    7.56    7.48           -         -
         64    8.04    7.97           -         -
        128    8.57    8.48           -         -

blksz (MiB)  indexPSIv1  indexPSIv2  indexLFv1  indexLFv2
          1        3.44        2.19       3.63       2.29
          2        3.88        2.90       4.01       3.00
          4        4.65        3.68       4.79       3.80
          8        5.43        4.48       5.56       4.61
         16        5.89        4.93       6.01       5.07
         32        6.42        5.50       6.57       5.67
         64        6.71        5.89       6.86       6.04
        128        7.06        6.27       7.21       6.40

blksz (MiB)  unlimTPSI  unlimTLF  biPSIv1  biPSIv2
          1       1.82      1.82     5.88     4.06
          2       2.64      3.13     5.44     4.11
          4       3.42      3.43     5.88     4.62
          8       4.21      4.24     6.40     5.21
         16       4.67      4.70     6.65     5.52
         32       6.15      5.30     6.96     5.91
         64       5.61      5.61     7.13     6.17
        128       5.94      5.97     7.33     6.22

blksz (MiB)      LL     LRI  LRI8v1  LRI8v2
          1    3.28   14.75    8.09    4.83
          2    3.75   13.18    7.83    5.21
          4    4.96   15.72    9.49    6.63
          8    6.01   19.13   11.09    8.04
         16    6.91   23.31   12.65    9.44
         32    7.94   29.12   14.25   10.94
         64    8.80   33.73   15.56   12.14
        128    9.67   40.13   17.35   13.71
